"ID" "name_C" "name_lib" "level_C" "order" "name_E" "level_E" "species" "field_type" "name_code" "name_baiaoyun" "class_standard" "level_code"
35 "孢囊线虫病" "BaoNangXianChongBing" "99-分离" 34 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T034" "孢囊线虫病" 0 "T034-99-"
36 "其他病害" "QiTaBingHai" NA 35 NA NA "soybean" "any" "T035" "其他病害" 0 "T035-NA"
37 "豆秆黑潜蝇" "DouGanHeiQianYing" "1-高抗" 36 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T036" "豆秆黑潜蝇" 0 "T036-1-"
37 "豆秆黑潜蝇" "DouGanHeiQianYing" "3-抗" 36 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T036" "豆秆黑潜蝇" 0 "T036-3-"
37 "豆秆黑潜蝇" "DouGanHeiQianYing" "5-中抗" 36 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T036" "豆秆黑潜蝇" 0 "T036-5-"
37 "豆秆黑潜蝇" "DouGanHeiQianYing" "7-感" 36 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T036" "豆秆黑潜蝇" 0 "T036-7-"
37 "豆秆黑潜蝇" "DouGanHeiQianYing" "9-高感" 36 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T036" "豆秆黑潜蝇" 0 "T036-9-"
37 "豆秆黑潜蝇" "DouGanHeiQianYing" "99-分离" 36 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T036" "豆秆黑潜蝇" 0 "T036-99-"
38 "豆荚螟" "DouJiaMing" "1-高抗" 37 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T037" "豆荚螟" 0 "T037-1-"
38 "豆荚螟" "DouJiaMing" "3-抗" 37 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T037" "豆荚螟" 0 "T037-3-"
